"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02945V03560","ICD 10 Diagnostic Group","UNIT","VALUE"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","-","Both sexes","07","Mania","Number","135"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","-","Both sexes","08","Neuroses","Number","76"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","-","Both sexes","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","-","Both sexes","10","Personality and behavioural disorders","Number","73"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","-","Both sexes","11","Alcoholic disorders","Number","52"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","-","Both sexes","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","-","Both sexes","13","Other drug disorders","Number","31"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","-","Both sexes","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","-","Both sexes","15","Eating disorders","Number","23"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","-","Both sexes","16","Intellectual disability","Number","85"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","-","Both sexes","17","Development disorders","Number","10"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","-","Both sexes","18","Behavioural, emotional disorders of childhood and adolescence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","-","Both sexes","19","Other and unspecified","Number","244"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","-","Both sexes","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","-","Both sexes","21","All disorders","Number","1826"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","02","Organic mental disorders","Number","103"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","04","Schizophrenia, schizotypal and delusional disorders","Number","429"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","06","Depressive disorders","Number","101"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","07","Mania","Number","61"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","08","Neuroses","Number","25"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","10","Personality and behavioural disorders","Number","21"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","11","Alcoholic disorders","Number","32"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","13","Other drug disorders","Number","22"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","15","Eating disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","16","Intellectual disability","Number","63"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","17","Development disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","18","Behavioural, emotional disorders of childhood and adolescence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","19","Other and unspecified","Number","131"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","1","Male","21","All disorders","Number","1001"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","02","Organic mental disorders","Number","78"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","04","Schizophrenia, schizotypal and delusional disorders","Number","253"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","06","Depressive disorders","Number","132"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","07","Mania","Number","74"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","08","Neuroses","Number","51"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","10","Personality and behavioural disorders","Number","52"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","11","Alcoholic disorders","Number","20"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","13","Other drug disorders","Number","9"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","15","Eating disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","16","Intellectual disability","Number","22"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","17","Development disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","18","Behavioural, emotional disorders of childhood and adolescence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","19","Other and unspecified","Number","113"
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2020","2020","2","Female","21","All disorders","Number","825"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","02","Organic mental disorders","Number","149"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","04","Schizophrenia, schizotypal and delusional disorders","Number","713"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","06","Depressive disorders","Number","250"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","07","Mania","Number","150"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","08","Neuroses","Number","94"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","10","Personality and behavioural disorders","Number","63"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","11","Alcoholic disorders","Number","59"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","13","Other drug disorders","Number","33"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","15","Eating disorders","Number","27"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","16","Intellectual disability","Number","73"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","17","Development disorders","Number","10"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","18","Behavioural, emotional disorders of childhood and adolescence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","19","Other and unspecified","Number","249"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","-","Both sexes","21","All disorders","Number","1871"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","02","Organic mental disorders","Number","82"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","04","Schizophrenia, schizotypal and delusional disorders","Number","444"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","06","Depressive disorders","Number","112"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","07","Mania","Number","72"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","08","Neuroses","Number","37"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","10","Personality and behavioural disorders","Number","17"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","11","Alcoholic disorders","Number","37"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","13","Other drug disorders","Number","27"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","15","Eating disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","16","Intellectual disability","Number","55"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","17","Development disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","18","Behavioural, emotional disorders of childhood and adolescence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","19","Other and unspecified","Number","137"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","1","Male","21","All disorders","Number","1032"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","02","Organic mental disorders","Number","67"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","04","Schizophrenia, schizotypal and delusional disorders","Number","269"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","06","Depressive disorders","Number","138"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","07","Mania","Number","78"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","08","Neuroses","Number","57"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","10","Personality and behavioural disorders","Number","46"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","11","Alcoholic disorders","Number","22"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","13","Other drug disorders","Number","6"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","15","Eating disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","16","Intellectual disability","Number","18"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","17","Development disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","18","Behavioural, emotional disorders of childhood and adolescence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","19","Other and unspecified","Number","112"
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2021","2021","2","Female","21","All disorders","Number","839"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","02","Organic mental disorders","Number","141"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","04","Schizophrenia, schizotypal and delusional disorders","Number","725"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","06","Depressive disorders","Number","277"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","07","Mania","Number","150"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","08","Neuroses","Number","75"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","10","Personality and behavioural disorders","Number","60"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","11","Alcoholic disorders","Number","57"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","13","Other drug disorders","Number","28"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","15","Eating disorders","Number","23"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","16","Intellectual disability","Number","63"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","17","Development disorders","Number","9"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","18","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","19","Other and unspecified","Number","305"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","-","Both sexes","21","All disorders","Number","1913"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","02","Organic mental disorders","Number","80"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","04","Schizophrenia, schizotypal and delusional disorders","Number","453"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","06","Depressive disorders","Number","127"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","07","Mania","Number","77"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","08","Neuroses","Number","29"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","10","Personality and behavioural disorders","Number","19"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","11","Alcoholic disorders","Number","39"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","13","Other drug disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","15","Eating disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","16","Intellectual disability","Number","47"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","17","Development disorders","Number","9"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","18","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","19","Other and unspecified","Number","151"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","1","Male","21","All disorders","Number","1056"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","02","Organic mental disorders","Number","61"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","04","Schizophrenia, schizotypal and delusional disorders","Number","272"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","06","Depressive disorders","Number","150"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","07","Mania","Number","73"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","08","Neuroses","Number","46"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","10","Personality and behavioural disorders","Number","41"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","11","Alcoholic disorders","Number","18"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","13","Other drug disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","15","Eating disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","16","Intellectual disability","Number","16"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","17","Development disorders","Number","0"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","18","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","19","Other and unspecified","Number","154"
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2022","2022","2","Female","21","All disorders","Number","857"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","02","Organic mental disorders","Number","176"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","04","Schizophrenia, schizotypal and delusional disorders","Number","735"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","06","Depressive disorders","Number","273"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","07","Mania","Number","153"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","08","Neuroses","Number","112"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","10","Personality and behavioural disorders","Number","79"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","11","Alcoholic disorders","Number","47"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","13","Other drug disorders","Number","35"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","15","Eating disorders","Number","32"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","16","Intellectual disability","Number","58"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","17","Development disorders","Number","10"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","18","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","19","Other and unspecified","Number","311"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","-","Both sexes","21","All disorders","Number","2021"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","02","Organic mental disorders","Number","92"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","04","Schizophrenia, schizotypal and delusional disorders","Number","474"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","06","Depressive disorders","Number","127"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","07","Mania","Number","72"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","08","Neuroses","Number","40"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","10","Personality and behavioural disorders","Number","24"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","11","Alcoholic disorders","Number","29"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","13","Other drug disorders","Number","29"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","15","Eating disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","16","Intellectual disability","Number","43"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","17","Development disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","18","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","19","Other and unspecified","Number","151"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","1","Male","21","All disorders","Number","1091"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","02","Organic mental disorders","Number","84"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","04","Schizophrenia, schizotypal and delusional disorders","Number","261"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","06","Depressive disorders","Number","146"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","07","Mania","Number","81"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","08","Neuroses","Number","72"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","10","Personality and behavioural disorders","Number","55"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","11","Alcoholic disorders","Number","18"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","13","Other drug disorders","Number","6"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","15","Eating disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","16","Intellectual disability","Number","15"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","17","Development disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","18","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","19","Other and unspecified","Number","160"
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2023","2023","2","Female","21","All disorders","Number","930"
"HRA71C02","Psychiatric In-patients (Rate per 100,000 Pop.)","2001","2001","-","Both sexes","01","Organic category","Rate per 100,000 Pop.","11.8"
"HRA71C02","Psychiatric In-patients (Rate per 100,000 Pop.)","2001","2001","-","Both sexes","02","Organic mental disorders","Rate per 100,000 Pop.",""
"HRA71C02","Psychiatric In-patients (Rate per 100,000 Pop.)","2001","2001","-","Both sexes","03","Schizophrenia","Rate per 100,000 Pop.","63.1"
"HRA71C02","Psychiatric In-patients (Rate per 100,000 Pop.)","2001","2001","-","Both sexes","04","Schizophrenia, schizotypal and delusional disorders","Rate per 100,000 Pop.",""
"HRA71C02","Psychiatric In-patients (Rate per 100,000 Pop.)","2001","2001","-","Both sexes","05","Other psychoses","Rate per 100,000 Pop.","1.8"
"HRA71C02","Psychiatric In-patients (Rate per 100,000 Pop.)","2001","2001","-","Both sexes","06","Depressive disorders","Rate per 100,000 Pop.","27.9"
"HRA71C02","Psychiatric In-patients (Rate per 100,000 Pop.)","2001","2001","-","Both sexes","07","Mania","Rate per 100,000 Pop.","15.7"
"HRA71C02","Psychiatric In-patients (Rate per 100,000 Pop.)","2001","2001","-","Both sexes","08","Neuroses","Rate per 100,000 Pop.","5.4"
"HRA71C02","Psychiatric In-patients (Rate per 100,000 Pop.)","2001","2001","-","Both sexes","09","Personality disorders","Rate per 100,000 Pop.","4.6"
"HRA71C02","Psychiatric In-patients (Rate per 100,000 Pop.)","2001","2001","-","Both sexes","10","Personality and behavioural disorders","Rate per 100,000 Pop.",""
"HRA71C02","Psychiatric In-patients (Rate per 100,000 Pop.)","2001","2001","-","Both sexes","11","Alcoholic disorders","Rate per 100,000 Pop.","8.9"
"HRA71C02","Psychiatric In-patients (Rate per 100,000 Pop.)","2001","2001","-","Both sexes","12","Drug dependence","Rate per 100,000 Pop.","2.1"
"HRA71C02","Psychiatric In-patients (Rate per 100,000 Pop.)","2001","2001","-","Both sexes","13","Other drug disorders","Rate per 100,000 Pop.",""
"HRA71C02","Psychiatric In-patients (Rate per 100,000 Pop.)","2001","2001","-","Both sexes","14","Mental handicap","Rate per 100,000 Pop.","14.5"
"HRA71C02","Psychiatric In-patients (Rate per 100,000 Pop.)","2001","2001","-","Both sexes","15","Eating disorders","Rate per 100,000 Pop.",""
"HRA71C02","Psychiatric In-patients (Rate per 100,000 Pop.)","2001","2001","-","Both sexes","16","Intellectual disability","Rate per 100,000 Pop.",""
"HRA71C02","Psychiatric In-patients (Rate per 100,000 Pop.)","2001","2001","-","Both sexes","17","Development disorders","Rate per 100,000 Pop.",""
