"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02945V03560","ICD 10 Diagnostic Group","UNIT","VALUE"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","2","Female","11","Alcoholic disorders","Number","63"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","2","Female","12","Drug dependence","Number","14"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","2","Female","13","Other drug disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","2","Female","14","Mental handicap","Number","122"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","2","Female","15","Eating disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","2","Female","16","Intellectual disability","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","2","Female","17","Development disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","2","Female","18","Behavioural, emotional disorders of childhood and adolescence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","2","Female","19","Other and unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","2","Female","20","Unspecified","Number","67"
"HRA71C01","Psychiatric In-patients (Number)","2001","2001","2","Female","21","All disorders","Number","1926"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","02","Organic mental disorders","Number","235"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","04","Schizophrenia, schizotypal and delusional disorders","Number","1163"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","06","Depressive disorders","Number","492"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","07","Mania","Number","275"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","08","Neuroses","Number","58"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","10","Personality and behavioural disorders","Number","70"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","11","Alcoholic disorders","Number","164"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","13","Other drug disorders","Number","26"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","15","Eating disorders","Number","18"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","16","Intellectual disability","Number","251"
